CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
CUST0068,353,2,3207.35,1,1,2,112,4,Churned
CUST0069,16,17,47459.69,5,5,5,555,15,Champions / Loyal
CUST0070,338,3,2281.76,1,2,2,122,5,Churned
CUST0071,226,9,12249.48,2,4,4,244,10,At Risk
CUST0072,38,9,13608.04,4,4,4,444,12,Champions / Loyal
CUST0073,5,29,89186.97,5,5,5,555,15,Champions / Loyal
CUST0074,332,4,4191.94,1,2,2,122,5,Churned
CUST0075,254,4,5637.95,2,2,2,222,6,Churned
CUST0076,280,4,6488.57,1,2,3,123,6,Cannot Lose Them
CUST0077,182,8,8795.74,2,3,3,233,8,Others
CUST0078,8,20,52676.4,5,5,5,555,15,Champions / Loyal
CUST0079,71,7,10829.32,3,3,4,334,10,Needs Attention
CUST0080,4,27,83251.75,5,5,5,555,15,Champions / Loyal
CUST0081,255,5,3790.5,2,2,2,222,6,Churned
CUST0082,136,9,10496.67,3,4,4,344,11,Needs Attention
CUST0083,43,12,19647.64,4,4,5,445,13,Champions / Loyal
CUST0084,9,26,75903.65,5,5,5,555,15,Champions / Loyal
CUST0085,63,12,19956.38,4,4,5,445,13,Champions / Loyal
CUST0086,27,9,13070.68,5,4,4,544,13,Champions / Loyal
CUST0087,162,9,11535.98,2,4,4,244,10,At Risk
CUST0088,109,4,4904.79,3,2,2,322,7,Others
CUST0089,337,4,4107.53,1,2,2,122,5,Churned
CUST0090,92,1,788.37,3,1,1,311,5,Others
CUST0091,16,20,52850.01,5,5,5,555,15,Champions / Loyal
CUST0092,155,6,7478.52,2,3,3,233,8,Others
CUST0093,186,7,8113.89,2,3,3,233,8,Others
CUST0094,274,1,902.58,1,1,1,111,3,Churned
CUST0095,153,6,5621.35,2,3,2,232,7,Others
CUST0096,301,1,1280.07,1,1,1,111,3,Churned
CUST0097,171,2,1915.67,2,1,1,211,4,Churned
CUST0098,56,10,15853.19,4,4,4,444,12,Champions / Loyal
CUST0099,38,17,54624.63,4,5,5,455,14,Champions / Loyal
CUST0100,18,27,86698.58,5,5,5,555,15,Champions / Loyal
CUST0101,11,25,83466.62,5,5,5,555,15,Champions / Loyal
CUST0102,134,8,10099.33,3,3,3,333,9,Needs Attention
CUST0103,33,8,10218.96,4,3,3,433,10,Potential Loyalist
CUST0104,315,1,637.21,1,1,1,111,3,Churned
CUST0105,334,3,3272.07,1,2,2,122,5,Churned
CUST0106,53,8,11507.7,4,3,4,434,11,Potential Loyalist
CUST0107,31,9,13333.78,4,4,4,444,12,Champions / Loyal
CUST0108,213,4,4888.07,2,2,2,222,6,Churned
CUST0109,48,9,11801.82,4,4,4,444,12,Champions / Loyal
CUST0110,19,23,70281.43,5,5,5,555,15,Champions / Loyal
CUST0111,32,13,19068.8,4,5,5,455,14,Champions / Loyal
CUST0112,38,13,22331.76,4,5,5,455,14,Champions / Loyal
CUST0113,269,5,6329.05,1,2,3,123,6,Cannot Lose Them
CUST0114,328,5,7018.9,1,2,3,123,6,Cannot Lose Them
CUST0115,137,4,3413.66,3,2,2,322,7,Others
CUST0116,324,5,4897.91,1,2,2,122,5,Churned
CUST0117,347,4,6795.26,1,2,3,123,6,Cannot Lose Them
CUST0118,40,13,21536.34,4,5,5,455,14,Champions / Loyal
CUST0119,306,1,771.25,1,1,1,111,3,Churned
CUST0120,241,2,2330.94,2,1,2,212,5,Churned
CUST0121,339,2,1450.53,1,1,1,111,3,Churned
CUST0122,339,4,5559.0,1,2,2,122,5,Churned
CUST0123,53,10,13745.45,4,4,4,444,12,Champions / Loyal
CUST0124,34,16,50749.43,4,5,5,455,14,Champions / Loyal
CUST0125,112,9,10808.42,3,4,4,344,11,Needs Attention
CUST0126,50,8,10070.18,4,3,3,433,10,Potential Loyalist
CUST0127,222,5,4813.45,2,2,2,222,6,Churned
CUST0128,347,1,1022.17,1,1,1,111,3,Churned
CUST0129,29,23,73956.05,5,5,5,555,15,Champions / Loyal
CUST0130,23,2,1787.1,5,1,1,511,7,New Customers
CUST0131,21,10,12289.54,5,4,4,544,13,Champions / Loyal
CUST0132,75,8,11695.3,3,3,4,334,10,Needs Attention
CUST0133,23,24,61768.68,5,5,5,555,15,Champions / Loyal
CUST0134,96,10,14294.98,3,4,4,344,11,Needs Attention
CUST0135,360,1,895.05,1,1,1,111,3,Churned
CUST0136,76,6,8970.27,3,3,3,333,9,Needs Attention
CUST0137,91,1,392.57,3,1,1,311,5,Others
CUST0138,220,5,7945.12,2,2,3,223,7,Cannot Lose Them
CUST0139,56,8,14787.44,4,3,4,434,11,Potential Loyalist
CUST0140,336,2,2589.87,1,1,2,112,4,Churned
CUST0141,296,3,1773.89,1,2,1,121,4,Churned
CUST0142,31,9,14002.36,4,4,4,444,12,Champions / Loyal
CUST0143,69,1,309.56,3,1,1,311,5,Others
CUST0144,65,9,15236.16,4,4,4,444,12,Champions / Loyal
CUST0145,86,11,15085.58,3,4,4,344,11,Needs Attention
CUST0146,15,28,78187.28,5,5,5,555,15,Champions / Loyal
CUST0147,145,9,9203.53,3,4,3,343,10,Needs Attention
CUST0148,30,2,2983.68,4,1,2,412,7,New Customers
CUST0149,10,25,67122.31,5,5,5,555,15,Champions / Loyal
CUST0150,140,6,9758.84,3,3,3,333,9,Needs Attention
CUST0151,358,1,1053.2,1,1,1,111,3,Churned
CUST0152,154,8,10988.36,2,3,4,234,9,Others
CUST0153,8,20,66690.56,5,5,5,555,15,Champions / Loyal
CUST0154,26,1,1049.54,5,1,1,511,7,New Customers
CUST0155,335,5,5777.69,1,2,2,122,5,Churned
CUST0156,61,9,14128.38,4,4,4,444,12,Champions / Loyal
CUST0157,186,8,8289.99,2,3,3,233,8,Others
CUST0158,142,6,7654.84,3,3,3,333,9,Needs Attention
CUST0159,40,9,12785.22,4,4,4,444,12,Champions / Loyal
CUST0160,300,4,5521.41,1,2,2,122,5,Churned
CUST0161,63,11,15649.77,4,4,4,444,12,Champions / Loyal
CUST0162,178,6,6603.62,2,3,3,233,8,Others
CUST0163,161,5,6589.9,2,2,3,223,7,Cannot Lose Them
CUST0164,123,2,1339.19,3,1,1,311,5,Others
CUST0165,25,29,85341.63,5,5,5,555,15,Champions / Loyal
CUST0166,335,1,1473.48,1,1,1,111,3,Churned
CUST0167,44,11,13257.75,4,4,4,444,12,Champions / Loyal
CUST0168,24,6,10468.59,5,3,4,534,12,Potential Loyalist
CUST0169,15,21,57334.64,5,5,5,555,15,Champions / Loyal
CUST0170,161,1,1016.75,2,1,1,211,4,Churned
CUST0171,143,9,13259.1,3,4,4,344,11,Needs Attention
CUST0172,15,28,80851.11,5,5,5,555,15,Champions / Loyal
CUST0173,192,2,2305.83,2,1,2,212,5,Churned
CUST0174,21,7,7666.56,5,3,3,533,11,Potential Loyalist
CUST0175,167,7,9043.28,2,3,3,233,8,Others
CUST0176,36,6,8805.78,4,3,3,433,10,Potential Loyalist
CUST0177,181,4,4186.67,2,2,2,222,6,Churned
CUST0178,19,12,18280.15,5,4,4,544,13,Champions / Loyal
CUST0179,348,3,2874.36,1,2,2,122,5,Churned
CUST0180,20,22,58685.94,5,5,5,555,15,Champions / Loyal
CUST0181,44,7,11571.68,4,3,4,434,11,Potential Loyalist
CUST0182,24,18,52233.36,5,5,5,555,15,Champions / Loyal
CUST0183,347,2,1898.57,1,1,1,111,3,Churned
CUST0184,348,3,3872.87,1,2,2,122,5,Churned
CUST0185,20,11,15109.2,5,4,4,544,13,Champions / Loyal
CUST0186,202,5,6337.82,2,2,3,223,7,Cannot Lose Them
CUST0187,348,4,3428.37,1,2,2,122,5,Churned
CUST0188,50,2,1022.0,4,1,1,411,6,New Customers
CUST0189,160,1,1107.71,2,1,1,211,4,Churned
CUST0190,61,9,12720.94,4,4,4,444,12,Champions / Loyal
CUST0191,3,29,67311.82,5,5,5,555,15,Champions / Loyal
CUST0192,255,2,2569.01,2,1,2,212,5,Churned
CUST0193,339,3,4471.36,1,2,2,122,5,Churned
CUST0194,118,8,8719.27,3,3,3,333,9,Needs Attention
CUST0195,24,11,13218.64,5,4,4,544,13,Champions / Loyal
CUST0196,89,12,14986.03,3,4,4,344,11,Needs Attention
CUST0197,148,8,8475.15,3,3,3,333,9,Needs Attention
CUST0198,339,4,4431.93,1,2,2,122,5,Churned
CUST0199,336,4,3663.03,1,2,2,122,5,Churned
CUST0200,136,6,6364.13,3,3,3,333,9,Needs Attention
CUST0201,226,6,9150.51,2,3,3,233,8,Others
CUST0202,8,20,59249.97,5,5,5,555,15,Champions / Loyal
CUST0203,72,13,17516.5,3,5,4,354,12,Needs Attention
CUST0204,257,3,1661.27,2,2,1,221,5,Churned
CUST0205,222,6,7300.67,2,3,3,233,8,Others
CUST0206,27,19,49036.47,5,5,5,555,15,Champions / Loyal
CUST0207,21,19,53246.01,5,5,5,555,15,Champions / Loyal
CUST0208,128,5,6268.11,3,2,3,323,8,Others
CUST0209,12,28,80522.95,5,5,5,555,15,Champions / Loyal
CUST0210,87,13,19685.41,3,5,5,355,13,Needs Attention
CUST0211,150,2,1564.3,3,1,1,311,5,Others
CUST0212,168,8,8908.18,2,3,3,233,8,Others
CUST0213,101,6,5134.47,3,3,2,332,8,Needs Attention
CUST0214,56,6,10182.1,4,3,3,433,10,Potential Loyalist
CUST0215,107,8,8699.61,3,3,3,333,9,Needs Attention
CUST0216,35,6,8360.21,4,3,3,433,10,Potential Loyalist
CUST0217,55,12,18478.25,4,4,4,444,12,Champions / Loyal
CUST0218,226,5,5771.22,2,2,2,222,6,Churned
CUST0219,238,5,4855.34,2,2,2,222,6,Churned
CUST0220,279,1,1402.05,1,1,1,111,3,Churned
CUST0221,224,6,7315.77,2,3,3,233,8,Others
CUST0222,17,1,1328.68,5,1,1,511,7,New Customers
CUST0223,7,16,49383.43,5,5,5,555,15,Champions / Loyal
CUST0224,34,12,17105.69,4,4,4,444,12,Champions / Loyal
CUST0225,67,13,19723.97,4,5,5,455,14,Champions / Loyal
CUST0226,129,6,10307.58,3,3,3,333,9,Needs Attention
CUST0227,357,2,3226.16,1,1,2,112,4,Churned
CUST0228,106,13,18483.09,3,5,4,354,12,Needs Attention
CUST0229,351,2,1712.41,1,1,1,111,3,Churned
CUST0230,196,6,6557.25,2,3,3,233,8,Others
CUST0231,160,9,10814.17,2,4,4,244,10,At Risk
CUST0232,119,1,735.93,3,1,1,311,5,Others
CUST0233,231,1,1269.44,2,1,1,211,4,Churned
CUST0234,48,1,428.16,4,1,1,411,6,New Customers
CUST0235,62,12,18627.59,4,4,5,445,13,Champions / Loyal
CUST0236,113,6,6865.16,3,3,3,333,9,Needs Attention
CUST0237,66,6,6412.72,4,3,3,433,10,Potential Loyalist
CUST0238,15,21,69411.12,5,5,5,555,15,Champions / Loyal
CUST0239,191,6,7449.7,2,3,3,233,8,Others
CUST0240,26,7,9127.39,5,3,3,533,11,Potential Loyalist
CUST0241,346,2,3427.03,1,1,2,112,4,Churned
CUST0242,346,2,2670.46,1,1,2,112,4,Churned
CUST0243,255,2,1954.33,2,1,1,211,4,Churned
CUST0244,61,6,8346.13,4,3,3,433,10,Potential Loyalist
CUST0245,13,24,68728.47,5,5,5,555,15,Champions / Loyal
CUST0246,288,2,1121.36,1,1,1,111,3,Churned
CUST0247,39,12,16056.78,4,4,4,444,12,Champions / Loyal
CUST0248,286,3,3482.34,1,2,2,122,5,Churned
CUST0249,348,3,3143.76,1,2,2,122,5,Churned
CUST0250,227,5,5321.81,2,2,2,222,6,Churned
CUST0251,57,7,11018.27,4,3,4,434,11,Potential Loyalist
CUST0252,31,9,12080.07,4,4,4,444,12,Champions / Loyal
CUST0253,332,5,6104.0,1,2,3,123,6,Cannot Lose Them
CUST0254,41,13,18372.67,4,5,4,454,13,Champions / Loyal
CUST0255,54,7,11001.47,4,3,4,434,11,Potential Loyalist
CUST0256,25,1,1141.04,5,1,1,511,7,New Customers
CUST0257,256,4,3846.24,2,2,2,222,6,Churned
CUST0258,188,8,11048.02,2,3,4,234,9,Others
CUST0259,259,1,1219.62,2,1,1,211,4,Churned
CUST0260,7,29,88558.07,5,5,5,555,15,Champions / Loyal
CUST0261,144,8,11387.99,3,3,4,334,10,Needs Attention
CUST0262,225,5,3543.58,2,2,2,222,6,Churned
CUST0263,21,24,67799.76,5,5,5,555,15,Champions / Loyal
CUST0264,41,2,2180.83,4,1,2,412,7,New Customers
CUST0265,328,5,5808.89,1,2,2,122,5,Churned
CUST0266,205,5,5560.7,2,2,2,222,6,Churned
CUST0267,156,6,9062.37,2,3,3,233,8,Others
CUST0268,125,8,7229.63,3,3,3,333,9,Needs Attention
CUST0269,29,12,18858.8,5,4,5,545,14,Champions / Loyal
CUST0270,28,11,16169.79,5,4,4,544,13,Champions / Loyal
CUST0271,253,1,429.67,2,1,1,211,4,Churned
CUST0272,309,4,5321.98,1,2,2,122,5,Churned
CUST0273,305,2,1019.06,1,1,1,111,3,Churned
CUST0274,313,3,3270.85,1,2,2,122,5,Churned
CUST0275,108,2,894.45,3,1,1,311,5,Others
CUST0276,162,1,1438.22,2,1,1,211,4,Churned
CUST0277,181,7,9386.78,2,3,3,233,8,Others
CUST0278,123,9,7881.32,3,4,3,343,10,Needs Attention
CUST0279,247,5,7434.75,2,2,3,223,7,Cannot Lose Them
CUST0280,208,6,7032.72,2,3,3,233,8,Others
CUST0281,302,3,2506.91,1,2,2,122,5,Churned
CUST0282,108,6,8631.28,3,3,3,333,9,Needs Attention
CUST0283,60,7,10233.27,4,3,3,433,10,Potential Loyalist
CUST0284,1,20,54779.28,5,5,5,555,15,Champions / Loyal
CUST0285,71,2,1065.12,3,1,1,311,5,Others
CUST0286,19,27,88818.52,5,5,5,555,15,Champions / Loyal
CUST0287,218,1,851.16,2,1,1,211,4,Churned
CUST0288,154,1,1285.51,2,1,1,211,4,Churned
CUST0289,65,7,9125.48,4,3,3,433,10,Potential Loyalist
CUST0290,106,1,1207.98,3,1,1,311,5,Others
CUST0291,38,27,77466.41,4,5,5,455,14,Champions / Loyal
CUST0292,17,26,83008.9,5,5,5,555,15,Champions / Loyal
CUST0293,253,4,2301.08,2,2,2,222,6,Churned
CUST0294,34,10,12646.9,4,4,4,444,12,Champions / Loyal
CUST0295,17,28,84461.59,5,5,5,555,15,Champions / Loyal
CUST0296,150,1,384.08,3,1,1,311,5,Others
CUST0297,177,4,6041.53,2,2,3,223,7,Cannot Lose Them
CUST0298,52,13,19108.62,4,5,5,455,14,Champions / Loyal
CUST0299,156,6,5337.2,2,3,2,232,7,Others
CUST0300,32,25,76192.32,4,5,5,455,14,Champions / Loyal
CUST0301,17,21,65808.05,5,5,5,555,15,Champions / Loyal
CUST0302,198,2,1882.23,2,1,1,211,4,Churned
CUST0303,151,1,308.51,2,1,1,211,4,Churned
CUST0304,134,9,8902.23,3,4,3,343,10,Needs Attention
CUST0305,201,5,6042.08,2,2,3,223,7,Cannot Lose Them
CUST0306,238,3,3442.71,2,2,2,222,6,Churned
CUST0307,23,1,710.01,5,1,1,511,7,New Customers
CUST0308,71,9,13730.88,3,4,4,344,11,Needs Attention
CUST0309,182,8,8283.86,2,3,3,233,8,Others
CUST0310,44,7,9817.2,4,3,3,433,10,Potential Loyalist
CUST0311,53,7,11790.93,4,3,4,434,11,Potential Loyalist
CUST0312,26,27,77965.13,5,5,5,555,15,Champions / Loyal
CUST0313,26,15,48775.39,5,5,5,555,15,Champions / Loyal
CUST0314,337,4,4226.85,1,2,2,122,5,Churned
CUST0315,352,2,2264.5,1,1,2,112,4,Churned
CUST0316,134,8,7464.25,3,4,3,343,10,Needs Attention
CUST0317,49,8,9544.87,4,4,3,443,11,Potential Loyalist
CUST0318,74,11,14399.46,3,4,4,344,11,Needs Attention
CUST0319,111,10,14377.36,3,4,4,344,11,Needs Attention
CUST0320,73,12,18033.66,3,4,4,344,11,Needs Attention
CUST0321,50,2,1476.98,4,1,1,411,6,New Customers
CUST0322,254,6,7084.0,2,3,3,233,8,Others
CUST0323,132,6,8422.03,3,3,3,333,9,Needs Attention
CUST0324,59,13,20059.81,4,5,5,455,14,Champions / Loyal
CUST0325,335,5,4844.95,1,3,2,132,6,Others
CUST0326,109,9,8027.97,3,4,3,343,10,Needs Attention
CUST0327,61,2,1858.47,4,1,1,411,6,New Customers
CUST0328,145,6,5837.37,3,3,2,332,8,Needs Attention
CUST0329,77,11,17931.2,3,4,4,344,11,Needs Attention
CUST0330,106,10,16178.42,3,4,4,344,11,Needs Attention
CUST0331,76,10,15124.15,3,4,4,344,11,Needs Attention
CUST0332,232,6,8316.63,2,3,3,233,8,Others
CUST0333,10,18,51756.61,5,5,5,555,15,Champions / Loyal
CUST0334,19,21,58060.19,5,5,5,555,15,Champions / Loyal
CUST0335,17,24,82679.13,5,5,5,555,15,Champions / Loyal
CUST0336,48,27,81078.89,4,5,5,455,14,Champions / Loyal
CUST0337,293,2,1032.16,1,1,1,111,3,Churned
CUST0338,145,4,4621.39,3,2,2,322,7,Others
CUST0339,219,2,2517.41,2,1,2,212,5,Churned
CUST0340,48,18,51195.62,4,5,5,455,14,Champions / Loyal
CUST0341,140,2,1386.21,3,1,1,311,5,Others
CUST0342,212,1,1195.74,2,1,1,211,4,Churned
CUST0343,102,12,17741.38,3,4,4,344,11,Needs Attention
CUST0344,60,7,11325.06,4,3,4,434,11,Potential Loyalist
CUST0345,98,11,15000.71,3,4,4,344,11,Needs Attention
CUST0346,200,8,10328.6,2,4,3,243,9,At Risk
CUST0347,194,5,6439.21,2,3,3,233,8,Others
CUST0348,12,17,39210.35,5,5,5,555,15,Champions / Loyal
CUST0349,40,7,9965.83,4,3,3,433,10,Potential Loyalist
CUST0350,111,8,8790.4,3,4,3,343,10,Needs Attention
CUST0351,33,1,365.41,4,1,1,411,6,New Customers
CUST0352,264,3,3237.54,2,2,2,222,6,Churned
CUST0353,167,6,8966.9,2,3,3,233,8,Others
CUST0354,67,10,12288.34,4,4,4,444,12,Champions / Loyal
CUST0355,33,21,55268.97,4,5,5,455,14,Champions / Loyal
CUST0356,158,8,10734.9,2,4,4,244,10,At Risk
CUST0357,40,15,44053.55,4,5,5,455,14,Champions / Loyal
CUST0358,232,1,834.83,2,1,1,211,4,Churned
CUST0359,334,5,4340.17,1,3,2,132,6,Others
CUST0360,124,1,1248.68,3,1,1,311,5,Others
CUST0361,41,6,8402.8,4,3,3,433,10,Potential Loyalist
CUST0362,131,4,4621.0,3,2,2,322,7,Others
CUST0363,75,2,1328.76,3,1,1,311,5,Others
CUST0364,249,1,754.81,2,1,1,211,4,Churned
CUST0365,317,4,3695.2,1,2,2,122,5,Churned
CUST0366,79,13,15460.08,3,5,4,354,12,Needs Attention
CUST0367,341,1,1006.82,1,1,1,111,3,Churned
CUST0368,346,5,6675.74,1,3,3,133,7,Others
CUST0369,64,9,14658.74,4,4,4,444,12,Champions / Loyal
CUST0370,11,28,79330.63,5,5,5,555,15,Champions / Loyal
CUST0371,19,29,70730.54,5,5,5,555,15,Champions / Loyal
CUST0372,25,19,55377.93,5,5,5,555,15,Champions / Loyal
CUST0373,37,23,71521.37,4,5,5,455,14,Champions / Loyal
CUST0374,106,9,9846.4,3,4,3,343,10,Needs Attention
CUST0375,14,29,85356.62,5,5,5,555,15,Champions / Loyal
CUST0376,72,9,10765.47,3,4,4,344,11,Needs Attention
CUST0377,336,1,1324.59,1,1,1,111,3,Churned
CUST0378,18,28,82557.34,5,5,5,555,15,Champions / Loyal
CUST0379,344,2,1780.25,1,1,1,111,3,Churned
CUST0380,33,11,13831.03,4,4,4,444,12,Champions / Loyal
CUST0381,15,24,66990.09,5,5,5,555,15,Champions / Loyal
CUST0382,141,8,11786.9,3,4,4,344,11,Needs Attention
CUST0383,199,4,3427.9,2,2,2,222,6,Churned
CUST0384,289,2,1335.97,1,1,1,111,3,Churned
CUST0385,166,7,8683.08,2,3,3,233,8,Others
CUST0386,362,1,1754.43,1,1,1,111,3,Churned
CUST0387,50,6,8159.48,4,3,3,433,10,Potential Loyalist
CUST0388,44,12,17517.42,4,4,4,444,12,Champions / Loyal
CUST0389,134,8,10067.42,3,4,3,343,10,Needs Attention
CUST0390,360,1,1045.73,1,1,1,111,3,Churned
CUST0391,341,2,1209.56,1,1,1,111,3,Churned
CUST0392,40,8,9767.55,4,4,3,443,11,Potential Loyalist
CUST0393,26,13,20239.92,5,5,5,555,15,Champions / Loyal
CUST0394,172,8,10570.32,2,4,4,244,10,At Risk
CUST0395,67,6,10816.54,4,3,4,434,11,Potential Loyalist
CUST0396,354,2,1821.32,1,1,1,111,3,Churned
CUST0397,342,5,6093.57,1,3,3,133,7,Others
CUST0398,92,6,9214.67,3,3,3,333,9,Needs Attention
CUST0399,199,6,7267.37,2,3,3,233,8,Others
CUST0400,156,4,4172.59,2,2,2,222,6,Churned
CUST0401,21,26,65929.57,5,5,5,555,15,Champions / Loyal
CUST0402,318,4,6145.46,1,2,3,123,6,Cannot Lose Them
CUST0403,319,1,596.65,1,1,1,111,3,Churned
CUST0404,303,5,7084.01,1,3,3,133,7,Others
CUST0405,48,6,8714.07,4,3,3,433,10,Potential Loyalist
CUST0406,339,5,6225.27,1,3,3,133,7,Others
CUST0407,63,8,9575.08,4,4,3,443,11,Potential Loyalist
CUST0408,22,23,67884.42,5,5,5,555,15,Champions / Loyal
CUST0409,341,2,1546.85,1,1,1,111,3,Churned
CUST0410,13,24,66146.74,5,5,5,555,15,Champions / Loyal
CUST0411,75,13,18459.92,3,5,4,354,12,Needs Attention
CUST0412,335,3,3311.0,1,2,2,122,5,Churned
CUST0413,351,1,1199.91,1,1,1,111,3,Churned
CUST0414,154,2,1090.8,2,1,1,211,4,Churned
CUST0415,113,9,10559.21,3,4,4,344,11,Needs Attention
CUST0416,68,8,14192.93,4,4,4,444,12,Champions / Loyal
CUST0417,21,7,9451.88,5,3,3,533,11,Potential Loyalist
CUST0418,114,7,9210.21,3,3,3,333,9,Needs Attention
CUST0419,120,7,7350.92,3,3,3,333,9,Needs Attention
CUST0420,166,8,7792.61,2,4,3,243,9,At Risk
CUST0421,123,7,7965.92,3,3,3,333,9,Needs Attention
CUST0422,183,8,8901.49,2,4,3,243,9,At Risk
CUST0423,78,15,47839.48,3,5,5,355,13,Needs Attention
CUST0424,55,2,1793.26,4,1,1,411,6,New Customers
CUST0425,9,16,40916.56,5,5,5,555,15,Champions / Loyal
CUST0426,113,2,1275.04,3,1,1,311,5,Others
CUST0427,44,7,12416.03,4,3,4,434,11,Potential Loyalist
CUST0428,326,3,3481.45,1,2,2,122,5,Churned
CUST0429,65,6,6039.63,4,3,3,433,10,Potential Loyalist
CUST0430,8,27,74472.6,5,5,5,555,15,Champions / Loyal
CUST0431,10,19,49982.97,5,5,5,555,15,Champions / Loyal
CUST0432,273,5,5293.32,1,3,2,132,6,Others
CUST0433,141,8,11695.84,3,4,4,344,11,Needs Attention
CUST0434,17,20,60865.28,5,5,5,555,15,Champions / Loyal
CUST0435,41,26,71090.16,4,5,5,455,14,Champions / Loyal
CUST0436,107,9,9500.92,3,4,3,343,10,Needs Attention
CUST0437,8,26,62891.49,5,5,5,555,15,Champions / Loyal
CUST0438,266,3,4618.43,2,2,2,222,6,Churned
CUST0439,224,8,10433.57,2,4,4,244,10,At Risk
CUST0440,11,20,50830.83,5,5,5,555,15,Champions / Loyal
CUST0441,19,23,62175.88,5,5,5,555,15,Champions / Loyal
CUST0442,339,5,6741.65,1,3,3,133,7,Others
